time	I(Lcoil)
1.090317995750016e-003	5.564410e+003
1.094589424321447e-003	5.565300e+003
1.098860852892878e-003	5.566179e+003
1.103132281464309e-003	5.567049e+003
1.103232281464309e-003	5.567069e+003
1.107503710035740e-003	5.567929e+003
1.111775138607171e-003	5.568780e+003
1.116046567178602e-003	5.569622e+003
1.120317995750033e-003	5.570456e+003
1.124589424321464e-003	5.571281e+003
1.128860852892895e-003	5.572097e+003
1.133132281464326e-003	5.572905e+003
1.133232281464326e-003	5.572923e+003
1.137503710035757e-003	5.573723e+003
1.141775138607188e-003	5.574514e+003
1.146046567178619e-003	5.575298e+003
1.150317995750050e-003	5.576075e+003
1.154589424321481e-003	5.576843e+003
1.158860852892912e-003	5.577605e+003
1.163132281464343e-003	5.578358e+003
1.163232281464343e-003	5.578375e+003
1.167503710035774e-003	5.579121e+003
1.171775138607205e-003	5.579861e+003
1.176046567178636e-003	5.580593e+003
1.180317995750067e-003	5.581318e+003
1.184589424321498e-003	5.582037e+003
1.188860852892929e-003	5.582749e+003
1.193132281464360e-003	5.583455e+003
1.193232281464360e-003	5.583471e+003
1.197503710035791e-003	5.584169e+003
1.201775138607222e-003	5.584862e+003
1.206046567178653e-003	5.585548e+003
1.210317995750084e-003	5.586227e+003
1.214589424321515e-003	5.586901e+003
1.218860852892946e-003	5.587568e+003
1.223132281464377e-003	5.588229e+003
1.223232281464377e-003	5.588245e+003
1.227503710035808e-003	5.588900e+003
1.231775138607239e-003	5.589549e+003
1.236046567178670e-003	5.590192e+003
1.240317995750101e-003	5.590830e+003
1.244589424321532e-003	5.591462e+003
1.248860852892963e-003	5.592088e+003
1.253132281464394e-003	5.592708e+003
1.253232281464394e-003	5.592723e+003
1.257503710035825e-003	5.593337e+003
1.261775138607256e-003	5.593946e+003
1.266046567178687e-003	5.594550e+003
1.270317995750118e-003	5.595149e+003
1.274589424321549e-003	5.595742e+003
1.278860852892980e-003	5.596329e+003
1.283132281464411e-003	5.596912e+003
1.283232281464411e-003	5.596925e+003
1.287503710035842e-003	5.597502e+003
1.291775138607273e-003	5.598074e+003
1.296046567178704e-003	5.598640e+003
1.300317995750135e-003	5.599201e+003
1.304589424321566e-003	5.599758e+003
1.308860852892997e-003	5.600309e+003
1.313132281464428e-003	5.600855e+003
1.313232281464428e-003	5.600868e+003
1.317503710035859e-003	5.601409e+003
1.321775138607290e-003	5.601945e+003
1.326046567178721e-003	5.602476e+003
1.330317995750152e-003	5.603002e+003
1.334589424321583e-003	5.603523e+003
1.338860852893014e-003	5.604039e+003
1.343132281464445e-003	5.604550e+003
1.343232281464445e-003	5.604562e+003
1.347503710035876e-003	5.605069e+003
1.351775138607307e-003	5.605570e+003
1.356046567178738e-003	5.606067e+003
1.360317995750169e-003	5.606559e+003
1.364589424321600e-003	5.607047e+003
1.368860852893031e-003	5.607529e+003
1.373132281464462e-003	5.608007e+003
1.373232281464462e-003	5.608019e+003
1.377503710035893e-003	5.608492e+003
1.381775138607324e-003	5.608960e+003
1.386046567178755e-003	5.609424e+003
1.390317995750186e-003	5.609883e+003
1.394589424321617e-003	5.610338e+003
1.398860852893048e-003	5.610788e+003
1.403132281464479e-003	5.611234e+003
1.403232281464479e-003	5.611244e+003
1.407503710035910e-003	5.611685e+003
1.411775138607341e-003	5.612122e+003
1.416046567178772e-003	5.612554e+003
1.420317995750203e-003	5.612981e+003
1.424589424321634e-003	5.613404e+003
1.428860852893065e-003	5.613823e+003
1.433132281464496e-003	5.614237e+003
1.433232281464496e-003	5.614247e+003
1.437503710035927e-003	5.614656e+003
1.441775138607358e-003	5.615061e+003
1.446046567178789e-003	5.615462e+003
1.450317995750220e-003	5.615858e+003
1.454589424321651e-003	5.616250e+003
1.458860852893082e-003	5.616638e+003
1.463132281464513e-003	5.617021e+003
1.463232281464513e-003	5.617030e+003
1.467503710035944e-003	5.617409e+003
1.471775138607375e-003	5.617784e+003
1.476046567178806e-003	5.618154e+003
1.480317995750237e-003	5.618520e+003
1.484589424321668e-003	5.618882e+003
1.488860852893099e-003	5.619240e+003
1.493132281464530e-003	5.619593e+003
1.493232281464530e-003	5.619601e+003
1.497503710035961e-003	5.619950e+003
1.501775138607392e-003	5.620295e+003
1.506046567178823e-003	5.620635e+003
1.510317995750254e-003	5.620971e+003
1.514589424321685e-003	5.621303e+003
1.518860852893116e-003	5.621631e+003
1.523132281464547e-003	5.621955e+003
1.523232281464547e-003	5.621962e+003
1.527503710035978e-003	5.622282e+003
1.531775138607409e-003	5.622597e+003
1.536046567178840e-003	5.622908e+003
1.540317995750271e-003	5.623216e+003
1.544589424321702e-003	5.623519e+003
1.548860852893133e-003	5.623817e+003
1.553132281464564e-003	5.624112e+003
1.553232281464564e-003	5.624119e+003
1.583232281464581e-003	5.626074e+003
1.613232281464598e-003	5.627832e+003
1.643232281464615e-003	5.629394e+003
1.673232281464632e-003	5.630765e+003
1.703232281464649e-003	5.631947e+003
1.733232281464666e-003	5.632943e+003
1.763232281464683e-003	5.633756e+003
1.793232281464700e-003	5.634389e+003
1.823232281464717e-003	5.634845e+003
1.853232281464734e-003	5.635125e+003
1.857503710036165e-003	5.635151e+003
1.861775138607596e-003	5.635173e+003
1.866046567179027e-003	5.635192e+003
1.870317995750458e-003	5.635207e+003
1.874589424321889e-003	5.635219e+003
1.878860852893320e-003	5.635228e+003
1.883132281464751e-003	5.635232e+003
1.883232281464751e-003	5.635233e+003
1.887503710036182e-003	5.635234e+003
1.891775138607613e-003	5.635232e+003
1.896046567179044e-003	5.635227e+003
1.900317995750475e-003	5.635218e+003
1.904589424321906e-003	5.635206e+003
1.908860852893337e-003	5.635190e+003
1.913132281464768e-003	5.635171e+003
1.913232281464768e-003	5.635171e+003
1.943232281464785e-003	5.634941e+003
1.973232281464758e-003	5.634547e+003
2.003232281464710e-003	5.633990e+003
2.033232281464662e-003	5.633273e+003
2.063232281464614e-003	5.632399e+003
2.093232281464566e-003	5.631369e+003
2.123232281464518e-003	5.630187e+003
2.153232281464470e-003	5.628853e+003
2.183232281464421e-003	5.627371e+003
2.213232281464373e-003	5.625742e+003
2.243232281464325e-003	5.623969e+003
2.273232281464277e-003	5.622055e+003
2.303232281464229e-003	5.620000e+003
2.333232281464181e-003	5.617809e+003
2.363232281464133e-003	5.615481e+003
2.393232281464085e-003	5.613020e+003
2.423232281464037e-003	5.610427e+003
2.453232281463989e-003	5.607705e+003
2.483232281463941e-003	5.604854e+003
2.513232281463893e-003	5.601879e+003
2.543232281463845e-003	5.598780e+003
2.573232281463797e-003	5.595559e+003
2.603232281463749e-003	5.592218e+003
2.633232281463701e-003	5.588759e+003
2.663232281463653e-003	5.585184e+003
2.693232281463604e-003	5.581494e+003
2.723232281463556e-003	5.577692e+003
2.753232281463508e-003	5.573778e+003
2.783232281463460e-003	5.569756e+003
2.813232281463412e-003	5.565626e+003
2.843232281463364e-003	5.561391e+003
2.873232281463316e-003	5.557052e+003
2.903232281463268e-003	5.552610e+003
2.933232281463220e-003	5.548067e+003
2.963232281463172e-003	5.543426e+003
2.993232281463124e-003	5.538686e+003
3.023232281463076e-003	5.533851e+003
3.053232281463028e-003	5.528921e+003
3.083232281462980e-003	5.523898e+003
3.113232281462932e-003	5.518784e+003
3.143232281462884e-003	5.513581e+003
3.173232281462836e-003	5.508288e+003
3.203232281462787e-003	5.502908e+003
3.233232281462739e-003	5.497443e+003
3.263232281462691e-003	5.491894e+003
3.293232281462643e-003	5.486262e+003
3.323232281462595e-003	5.480549e+003
3.353232281462547e-003	5.474756e+003
3.383232281462499e-003	5.468884e+003
3.413232281462451e-003	5.462935e+003
3.443232281462403e-003	5.456909e+003
3.473232281462355e-003	5.450809e+003
3.503232281462307e-003	5.444636e+003
3.533232281462259e-003	5.438390e+003
3.563232281462211e-003	5.432073e+003
3.593232281462163e-003	5.425687e+003
3.623232281462115e-003	5.419231e+003
3.653232281462067e-003	5.412709e+003
3.683232281462018e-003	5.406121e+003
3.713232281461970e-003	5.399467e+003
3.743232281461922e-003	5.392750e+003
3.773232281461874e-003	5.385970e+003
3.803232281461826e-003	5.379129e+003
3.833232281461778e-003	5.372227e+003
3.863232281461730e-003	5.365266e+003
3.893232281461682e-003	5.358246e+003
3.923232281461708e-003	5.351169e+003
3.953232281461790e-003	5.344036e+003
3.983232281461872e-003	5.336847e+003
4.013232281461954e-003	5.329605e+003
4.043232281462036e-003	5.322310e+003
4.073232281462118e-003	5.314961e+003
4.103232281462200e-003	5.307563e+003
4.133232281462282e-003	5.300114e+003
4.163232281462364e-003	5.292616e+003
4.193232281462446e-003	5.285069e+003
4.223232281462528e-003	5.277475e+003
4.253232281462610e-003	5.269835e+003
4.283232281462692e-003	5.262149e+003
4.313232281462774e-003	5.254418e+003
4.343232281462856e-003	5.246644e+003
4.373232281462938e-003	5.238827e+003
4.403232281463020e-003	5.230968e+003
4.433232281463102e-003	5.223068e+003
4.463232281463185e-003	5.215127e+003
4.493232281463267e-003	5.207147e+003
4.523232281463349e-003	5.199128e+003
4.553232281463431e-003	5.191072e+003
4.583232281463513e-003	5.182978e+003
4.613232281463595e-003	5.174848e+003
4.643232281463677e-003	5.166683e+003
4.673232281463759e-003	5.158482e+003
4.703232281463841e-003	5.150248e+003
4.733232281463923e-003	5.141980e+003
4.763232281464005e-003	5.133680e+003
4.793232281464087e-003	5.125348e+003
4.823232281464169e-003	5.116985e+003
4.853232281464251e-003	5.108592e+003
4.883232281464333e-003	5.100169e+003
4.913232281464415e-003	5.091717e+003
4.943232281464497e-003	5.083236e+003
4.973232281464579e-003	5.074729e+003
5.003232281464661e-003	5.066193e+003
5.033232281464743e-003	5.057632e+003
5.063232281464825e-003	5.049045e+003
5.093232281464907e-003	5.040433e+003
5.123232281464990e-003	5.031796e+003
5.153232281465072e-003	5.023136e+003
5.183232281465154e-003	5.014452e+003
5.213232281465236e-003	5.005746e+003
5.243232281465318e-003	4.997017e+003
5.273232281465400e-003	4.988267e+003
5.303232281465482e-003	4.979497e+003
5.333232281465564e-003	4.970706e+003
5.363232281465646e-003	4.961895e+003
5.393232281465728e-003	4.953065e+003
5.423232281465810e-003	4.944216e+003
5.453232281465892e-003	4.935349e+003
5.483232281465974e-003	4.926465e+003
5.513232281466056e-003	4.917563e+003
5.543232281466138e-003	4.908646e+003
5.573232281466220e-003	4.899711e+003
5.603232281466302e-003	4.890762e+003
5.633232281466384e-003	4.881797e+003
5.663232281466466e-003	4.872818e+003
5.693232281466548e-003	4.863825e+003
5.723232281466630e-003	4.854818e+003
5.753232281466712e-003	4.845798e+003
5.783232281466794e-003	4.836766e+003
5.813232281466877e-003	4.827721e+003
5.843232281466959e-003	4.818664e+003
5.873232281467041e-003	4.809596e+003
5.903232281467123e-003	4.800517e+003
5.933232281467205e-003	4.791428e+003
5.963232281467287e-003	4.782329e+003
5.993232281467369e-003	4.773219e+003
6.023232281467451e-003	4.764101e+003
6.053232281467533e-003	4.754974e+003
6.083232281467615e-003	4.745839e+003
6.113232281467697e-003	4.736695e+003
6.143232281467779e-003	4.727544e+003
